,MovieName,Rating,Genre,Runtime,Stars
40,Slasher,6.7,Comedy| Horror| Thriller,60 min,Stars:Dean McDermott| Joanne Vannicola| Paula Brancati| Christopher Jacot
41,Scream: The TV Series,7.3,Comedy| Horror| Thriller,45 min,Stars:Willa Fitzgerald| Bex Taylor-Klaus| John Karna| Carlson Young
42,Suspiria,6.8,Comedy| Horror| Thriller,152 min,Director:Luca Guadagnino|     Stars:Chloë Grace Moretz| Tilda Swinton| Doris Hick| Malgorzata Bela
43,The Conjuring,7.5,Comedy| Horror| Thriller,112 min,Director:James Wan|     Stars:Patrick Wilson| Vera Farmiga| Ron Livingston| Lili Taylor
44,A Quiet Place,7.6,Comedy| Horror| Thriller,90 min,Director:John Krasinski|     Stars:Emily Blunt| John Krasinski| Millicent Simmonds| Noah Jupe
45,The Originals,8.3,Comedy| Horror| Thriller,45 min,Stars:Joseph Morgan| Daniel Gillies| Claire Holt| Phoebe Tonkin
46,Nightmare Cinema,5.5,Comedy| Horror| Thriller,119 min,Directors:Alejandro Brugués| Joe Dante| Mick Garris| Ryûhei Kitamura| David Slade|     Stars:Mickey Rourke| Richard Chamberlain| Adam Godley| Orson Chaplin
47,Alien,8.5,Comedy| Horror| Thriller,117 min,Director:Ridley Scott|     Stars:Sigourney Weaver| Tom Skerritt| John Hurt| Veronica Cartwright
48,Escape Room,6.4,Comedy| Horror| Thriller,99 min,Director:Adam Robitel|     Stars:Taylor Russell| Logan Miller| Jay Ellis| Tyler Labine
49,The Curse of La Llorona,5.6,Comedy| Horror| Thriller,93 min,Director:Michael Chaves|     Stars:Linda Cardellini| Raymond Cruz| Patricia Velasquez| Marisol Ramirez
50,Jinn,3.4,Comedy| Horror| Thriller,30 min,Stars:Salma Malhas| Sultan Alkhail| Hamzeh Okab| Aysha Shahaltough
51,Ghostbusters 2020,-1,Comedy| Horror| Thriller,-1,Director:Jason Reitman|     Stars:Annie Potts| Mckenna Grace| Paul Rudd| Finn Wolfhard
52,Split,7.3,Comedy| Horror| Thriller,117 min,Director:M. Night Shyamalan|     Stars:James McAvoy| Anya Taylor-Joy| Haley Lu Richardson| Jessica Sula
53,Doom: Annihilation,-1,Comedy| Horror| Thriller,-1,Director:Tony Giglio|     Stars:Amy Manson| Louis Mandylor| Nina Bergman| Amer Chadha-Patel
54,The Dark Crystal: Age of Resistance,-1,Comedy| Horror| Thriller,60 min,Stars:Awkwafina| Caitriona Balfe| Helena Bonham Carter| Warrick Brownlow-Pike
55,The Conjuring 3,-1,Comedy| Horror| Thriller,-1,Director:Michael Chaves|     Stars:Vera Farmiga| Patrick Wilson| Sadie Hirsch
56,Overlord,6.7,Comedy| Horror| Thriller,110 min,Director:Julius Avery|     Stars:Jovan Adepo| Wyatt Russell| Mathilde Ollivier| Pilou Asbæk
57,Legacies,7.5,Comedy| Horror| Thriller,45 min,Stars:Danielle Rose Russell| Kaylee Bryant| Matthew Davis| Aria Shahghasemi
58,Hellboy,5.3,Comedy| Horror| Thriller,120 min,Director:Neil Marshall|     Stars:David Harbour| Milla Jovovich| Ian McShane| Sasha Lane
59,Hannibal,8.5,Comedy| Horror| Thriller,44 min,Stars:Hugh Dancy| Mads Mikkelsen| Caroline Dhavernas| Laurence Fishburne
60,Annihilation,6.9,Comedy| Horror| Thriller,115 min,Director:Alex Garland|     Stars:Natalie Portman| Jennifer Jason Leigh| Tessa Thompson| Benedict Wong
61,The Dark Tower,5.7,Comedy| Horror| Thriller,95 min,Director:Nikolaj Arcel|     Stars:Idris Elba| Matthew McConaughey| Tom Taylor| Dennis Haysbert
62,The Twilight Zone,5.9,Comedy| Horror| Thriller,60 min,Stars:Jordan Peele| David Epstein| Shalyn Ferdinand| Zazie Beetz
63,Bird Box,6.6,Comedy| Horror| Thriller,124 min,Director:Susanne Bier|     Stars:Sandra Bullock| Trevante Rhodes| John Malkovich| Sarah Paulson
64,The VVitch: A New-England Folktale,6.8,Comedy| Horror| Thriller,92 min,Director:Robert Eggers|     Stars:Anya Taylor-Joy| Ralph Ineson| Kate Dickie| Julian Richings
65,Santa Clarita Diet,7.9,Comedy| Horror| Thriller,30 min,Stars:Drew Barrymore| Timothy Olyphant| Liv Hewson| Skyler Gisondo
66,Grimm,7.8,Comedy| Horror| Thriller,45 min,Stars:David Giuntoli| Russell Hornsby| Silas Weir Mitchell| Sasha Roiz
67,Happy Death Day 2U,6.3,Comedy| Horror| Thriller,100 min,Director:Christopher Landon|     Stars:Jessica Rothe| Israel Broussard| Phi Vu| Suraj Sharma
68,28 Days Later...,7.6,Comedy| Horror| Thriller,113 min,Director:Danny Boyle|     Stars:Cillian Murphy| Naomie Harris| Christopher Eccleston| Alex Palmer
69,Bates Motel,8.2,Comedy| Horror| Thriller,45 min,Stars:Vera Farmiga| Freddie Highmore| Max Thieriot| Nicola Peltz
70,The Neon Demon,6.2,Comedy| Horror| Thriller,117 min,Director:Nicolas Winding Refn|     Stars:Elle Fanning| Christina Hendricks| Keanu Reeves| Karl Glusman
71,Los Espookys,7.2,Comedy| Horror| Thriller,-1,Stars:Fred Armisen| Cassandra Ciangherotti| Ana Fabrega| José Pablo Minor
72,The Conjuring 2,7.4,Comedy| Horror| Thriller,134 min,Director:James Wan|     Stars:Vera Farmiga| Patrick Wilson| Madison Wolfe| Frances O'Connor
73,Constantine,7,Comedy| Horror| Thriller,121 min,Director:Francis Lawrence|     Stars:Keanu Reeves| Rachel Weisz| Djimon Hounsou| Shia LaBeouf
74,Alien: Covenant,6.4,Comedy| Horror| Thriller,122 min,Director:Ridley Scott|     Stars:Michael Fassbender| Katherine Waterston| Billy Crudup| Danny McBride
75,Castle Rock,7.7,Comedy| Horror| Thriller,60 min,Stars:André Holland| Melanie Lynskey| Bill Skarsgård| Jane Levy
76,Dracula,7.5,Comedy| Horror| Thriller,128 min,Director:Francis Ford Coppola|     Stars:Gary Oldman| Winona Ryder| Anthony Hopkins| Keanu Reeves
77,Cult of Chucky,5.2,Comedy| Horror| Thriller,91 min,Director:Don Mancini|     Stars:Allison Dawn Doiron| Alex Vincent| Brad Dourif| Fiona Dourif
78,Scary Stories to Tell in the Dark,-1,Comedy| Horror| Thriller,-1,Director:André Øvredal|     Stars:Zoe Margaret Colletti| Michael Garza| Gabriel Rush| Dean Norris
79,The Lighthouse,8.2,Comedy| Horror| Thriller,110 min,Director:Robert Eggers|     Stars:Robert Pattinson| Willem Dafoe
80,Climax,7.2,Comedy| Horror| Thriller,97 min,Director:Gaspar Noé|     Stars:Sofia Boutella| Romain Guillermic| Souheila Yacoub| Kiddy Smile
81,Mother!,6.6,Comedy| Horror| Thriller,121 min,Director:Darren Aronofsky|     Stars:Jennifer Lawrence| Javier Bardem| Ed Harris| Michelle Pfeiffer
